Angles,,,PercentGaitCycle,VerySlowLB,VerySlowMean,VerySlowUB,SlowLB,SlowMean,SlowUB,FreeLB,FreeMean,FreeUB,FastLB,FastMean,FastUB,VeryFastLB,VeryFastMean,VeryFastUB
Trunk,Ant/Posterior,Tilt,90,14.0165,23.7714,33.5262,12.9882,22.7378,32.4874,12.3126,21.4669,30.6212,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,92,14.0702,23.8123,33.5544,12.9804,22.7578,32.5352,12.2744,21.4766,30.6788,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,94,14.0497,23.7787,33.5078,12.9461,22.7535,32.5608,12.2799,21.5197,30.7596,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,96,13.9722,23.6919,33.4116,12.9072,22.7413,32.5755,12.3503,21.6129,30.8754,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,98,13.7152,23.4849,33.2547,12.7862,22.644,32.5018,12.2784,21.614,30.9495,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,100,13.3589,23.154,32.949,12.5918,22.4323,32.2727,12.3047,21.5697,30.8347,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,0,-5.2373,-1.0105,3.2163,-5.2136,-1.9576,1.2983,-7.0338,-3.1756,0.6825,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,2,-5.4913,-1.2389,3.0135,-5.5358,-2.2752,0.9854,-7.4002,-3.5222,0.3559,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,4,-5.9218,-1.7036,2.5146,-6.034,-2.7547,0.5247,-7.8793,-3.9661,-0.0529,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,6,-6.4701,-2.2957,1.8786,-6.7227,-3.3755,-0.0283,-8.5645,-4.6165,-0.6685,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,8,-7.0212,-2.882,1.2572,-7.4608,-4.0473,-0.6338,-9.349,-5.3313,-1.3136,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,10,-7.4219,-3.2943,0.8333,-8.0803,-4.6142,-1.1481,-10.0959,-6.0515,-2.0072,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,12,-7.6297,-3.5144,0.6008,-8.5373,-5.008,-1.4787,-10.5068,-6.5239,-2.5411,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,14,-7.6393,-3.5984,0.4426,-8.6998,-5.175,-1.6502,-10.6896,-6.7512,-2.8127,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,16,-7.7533,-3.7105,0.3323,-8.5872,-5.0966,-1.606,-10.5579,-6.6752,-2.7925,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,18,-7.6509,-3.6299,0.3911,-8.2253,-4.736,-1.2467,-10.0313,-6.2374,-2.4434,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,20,-7.5221,-3.4184,0.6852,-7.6442,-4.1694,-0.6947,-9.2294,-5.4938,-1.7582,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,22,-7.2048,-3.0992,1.0064,-6.8832,-3.4484,-0.0135,-8.2482,-4.4998,-0.7515,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,24,-6.85,-2.7328,1.3843,-6.0405,-2.6126,0.8154,-7.1545,-3.4242,0.306,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,26,-6.3707,-2.2681,1.8346,-5.2362,-1.8183,1.5996,-6.0181,-2.2904,1.4373,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,28,-5.8758,-1.8113,2.2532,-4.5086,-1.1145,2.2795,-4.9925,-1.2716,2.4493,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,30,-5.4804,-1.3854,2.7095,-3.8201,-0.4744,2.8714,-4.0571,-0.3664,3.3243,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,32,-5.1446,-1.0223,3.1,-3.3358,0.0173,3.3704,-3.3329,0.3548,4.0426,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,34,-4.7679,-0.6748,3.4183,-2.9734,0.3752,3.7237,-2.7643,0.9069,4.5782,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,36,-4.5152,-0.4193,3.6767,-2.6866,0.6081,3.9028,-2.3719,1.3017,4.9754,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,38,-4.2768,-0.1759,3.9249,-2.4444,0.7993,4.043,-2.0518,1.5994,5.2505,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,40,-4.1068,0.0208,4.1484,-2.3035,0.9476,4.1986,-1.8612,1.8088,5.4788,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,42,-3.9485,0.2004,4.3493,-2.129,1.0807,4.2904,-1.7174,1.9733,5.6641,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,44,-3.6516,0.4333,4.5182,-1.9898,1.2228,4.4354,-1.5381,2.1593,5.8568,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,46,-3.5541,0.5644,4.6829,-1.8039,1.3892,4.5822,-1.2995,2.4125,6.1245,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,48,-3.2933,0.8149,4.9231,-1.5597,1.6565,4.8727,-1.0736,2.6862,6.4459,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,50,-3.1037,1.0271,5.158,-1.2816,1.9481,5.1778,-0.701,3.0677,6.8364,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,52,-2.7649,1.3763,5.5175,-0.9241,2.3065,5.5371,-0.3421,3.4455,7.233,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,54,-2.3478,1.8119,5.9717,-0.4923,2.7507,5.9938,0.0819,3.9252,7.7684,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,56,-1.9222,2.2741,6.4704,0.0519,3.3546,6.6573,0.7033,4.5891,8.4749,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,58,-1.4651,2.7501,6.9652,0.6306,3.9718,7.3131,1.4368,5.3522,9.2675,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,60,-1.106,3.1073,7.3206,1.0944,4.5034,7.9125,2.1233,6.0766,10.0298,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,62,-0.8584,3.3731,7.6045,1.4909,4.8889,8.2868,2.607,6.5855,10.564,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,64,-0.6809,3.5088,7.6985,1.7045,5.083,8.4614,2.95,6.8344,10.7189,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,66,-0.5711,3.5485,7.6681,1.6107,4.981,8.3513,2.9131,6.7548,10.5965,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,68,-0.5924,3.5046,7.6015,1.2716,4.6364,8.0012,2.5819,6.3547,10.1274,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,70,-0.7549,3.355,7.465,0.7095,4.0912,7.4729,1.8687,5.5992,9.3297,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,72,-0.9858,3.1056,7.1971,-0.0268,3.3627,6.7522,0.9332,4.6325,8.3319,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,74,-1.3706,2.7423,6.8552,-0.8204,2.5739,5.9682,-0.1173,3.5479,7.2132,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,76,-1.7366,2.3342,6.405,-1.6162,1.7929,5.202,-1.2088,2.4529,6.1145,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,78,-2.2331,1.8567,5.9465,-2.2831,1.0666,4.4163,-2.2031,1.4161,5.0353,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,80,-2.7155,1.3853,5.4861,-2.8483,0.4523,3.753,-3.0894,0.5004,4.0901,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,82,-3.0777,0.9981,5.0738,-3.2941,-0.0173,3.2596,-3.7719,-0.2146,3.3426,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,84,-3.4523,0.637,4.7262,-3.6663,-0.3865,2.8932,-4.3275,-0.7718,2.7839,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,86,-3.7476,0.3645,4.4767,-3.9363,-0.6438,2.6487,-4.7046,-1.1663,2.372,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,88,-4.0178,0.1174,4.2526,-4.0656,-0.8166,2.4324,-4.9867,-1.4474,2.0918,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,90,-4.2461,-0.078,4.0901,-4.2586,-0.966,2.3267,-5.1914,-1.6648,1.8619,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,92,-4.4085,-0.2567,3.8951,-4.3785,-1.1119,2.1547,-5.3332,-1.801,1.7313,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,94,-4.562,-0.4355,3.691,-4.516,-1.2558,2.0044,-5.5582,-1.9842,1.5898,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,96,-4.6673,-0.5572,3.553,-4.7623,-1.4629,1.8365,-5.8246,-2.2328,1.3591,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,98,-4.8205,-0.7333,3.3538,-4.9975,-1.6968,1.6038,-6.1736,-2.5211,1.1314,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Up/Down,Obliquity,100,-4.9768,-0.9021,3.1727,-5.3508,-2.0185,1.3138,-6.6308,-2.9184,0.7941,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,0,-5.1423,-1.4314,2.2795,-6.7115,-2.8607,0.99,-8.8929,-4.6915,-0.49,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,2,-5.2795,-1.4917,2.2961,-6.7753,-2.8879,0.9995,-8.6469,-4.4899,-0.3329,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,4,-5.0004,-1.2365,2.5275,-6.4523,-2.5499,1.3525,-8.1235,-4.0216,0.0804,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,6,-4.7893,-1.0199,2.7496,-5.9939,-2.0153,1.9632,-7.5337,-3.3909,0.752,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,8,-4.8097,-1.0246,2.7606,-5.6006,-1.595,2.4107,-6.9474,-2.7907,1.3661,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,10,-4.9042,-1.0783,2.7475,-5.4747,-1.4416,2.5916,-6.4998,-2.3702,1.7595,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,12,-4.9341,-1.1556,2.6229,-5.5389,-1.4676,2.6037,-6.1929,-2.0345,2.1239,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,14,-4.957,-1.1621,2.6329,-5.4111,-1.3804,2.6502,-5.8748,-1.7229,2.429,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,16,-4.9177,-1.1529,2.6119,-5.1151,-1.1454,2.8244,-5.4945,-1.3523,2.7899,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,18,-4.7828,-1.0118,2.7592,-4.66,-0.7703,3.1194,-4.9883,-0.9143,3.1597,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,20,-4.683,-0.8556,2.9719,-4.2144,-0.3897,3.4351,-4.5079,-0.4844,3.5391,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,22,-4.4966,-0.6915,3.1135,-3.854,-0.051,3.7521,-4.0344,-0.0682,3.898,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,24,-4.3723,-0.5957,3.1808,-3.5271,0.2392,4.0055,-3.6305,0.2773,4.1851,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,26,-4.2486,-0.5009,3.2467,-3.2759,0.4447,4.1654,-3.2378,0.6334,4.5047,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,28,-4.1424,-0.4119,3.3186,-3.0418,0.6314,4.3046,-2.9115,0.953,4.8175,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,30,-4.0763,-0.3516,3.3731,-2.836,0.8018,4.4395,-2.498,1.3199,5.1378,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,32,-3.9634,-0.2523,3.4587,-2.6852,0.9604,4.606,-2.1718,1.6602,5.4923,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,34,-3.8084,-0.1366,3.5352,-2.4821,1.1503,4.7828,-1.7768,2.0518,5.8804,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,36,-3.6772,-0.0264,3.6244,-2.2715,1.326,4.9236,-1.4053,2.467,6.3393,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,38,-3.5323,0.1394,3.811,-2.0349,1.5812,5.1973,-0.9493,2.9338,6.8169,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,40,-3.3001,0.332,3.9642,-1.7397,1.8774,5.4946,-0.493,3.4598,7.4125,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,42,-3.1175,0.529,4.1754,-1.4915,2.1472,5.7859,-0.0641,3.9567,7.9775,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
